Temperatura (°C),Cisnienie p (MPa),Gestosc ρ (kg/m³),Cieplo wlasciwe cp (kJ/(kg·K)),Przewodzenie ciepla λ·10^2 (W/(m·K)),Dyfuzyjnosc cieplna a·10^8 (m²/s),Lepkosc dynamiczna μ·10^6 (N·s/m²),Lepkosc kinematyczna ν·10^6 (m²/s),Rozszerzalnosc β·10^4 (1/K),Napiecie powierzchniowe σ·10^4 (N/m),Liczba Prandtla Pr (-)
1.73,0.0007167467467,999.8655656,4.208384384,55.495996,13.2033033,1705.013013,1.705840841,-0.401011011,753.8518519,12.95548549
1.74,0.0007173673674,999.8653654,4.208363363,55.4982983,13.2039039,1704.530531,1.705357357,-0.3996796797,753.837037,12.95133133
1.75,0.000717987988,999.8651652,4.208342342,55.5006006,13.2045045,1704.048048,1.704873874,-0.3983483483,753.8222222,12.94717718
1.76,0.0007186086086,999.864965,4.208321321,55.5029029,13.20510511,1703.565566,1.70439039,-0.397017017,753.8074074,12.94302302
1.77,0.0007192292292,999.8647648,4.2083003,55.50520521,13.20570571,1703.083083,1.703906907,-0.3956856857,753.7925926,12.93886887
1.78,0.0007198498498,999.8645646,4.208279279,55.50750751,13.20630631,1702.600601,1.703423423,-0.3943543544,753.7777778,12.93471471
1.79,0.0007204704705,999.8643644,4.208258258,55.50980981,13.20690691,1702.118118,1.70293994,-0.393023023,753.762963,12.93056056
1.8,0.0007210910911,999.8641642,4.208237237,55.51211211,13.20750751,1701.635636,1.702456456,-0.3916916917,753.7481481,12.92640641
1.81,0.0007217117117,999.863964,4.208216216,55.51441441,13.20810811,1701.153153,1.701972973,-0.3903603604,753.7333333,12.92225225
1.82,0.0007223323323,999.8637638,4.208195195,55.51671672,13.20870871,1700.670671,1.701489489,-0.389029029,753.7185185,12.9180981
1.83,0.000722952953,999.8635636,4.208174174,55.51901902,13.20930931,1700.188188,1.701006006,-0.3876976977,753.7037037,12.91394394
1.84,0.0007235735736,999.8633634,4.208153153,55.52132132,13.20990991,1699.705706,1.700522523,-0.3863663664,753.6888889,12.90978979
